Analyzer,DetectionClass,CapsuleStartUTC,CapsuleEndUTC
CEMS-001,status-offline,2026-01-15T14:00:00Z,2026-01-15T18:00:00Z
CEMS-001,failed-daily-validation,2026-01-20T08:00:00Z,2026-01-20T12:00:00Z
CEMS-002,status-offline,2026-01-25T10:00:00Z,2026-01-25T14:00:00Z
CEMS-001,status-offline,2026-01-28T06:00:00Z,2026-01-28T10:00:00Z
LUBEFLR-NHV-BTU,legacy-blended,2026-02-03T09:00:00Z,2026-02-03T12:00:00Z
LUBEFLR-NHV-BTU,legacy-blended,2026-02-03T13:00:00Z,2026-02-03T15:00:00Z
LUBEFLR-H2S-PCT,legacy-blended,2026-02-03T00:00:00Z,2026-02-03T12:00:00Z
LUBEFLR-H2S-PCT,legacy-blended,2026-02-03T12:00:00Z,2026-02-03T17:00:00Z
LUBEFLR-H2S-PPM,legacy-blended,2026-02-03T00:00:00Z,2026-02-03T12:00:00Z
LUBEFLR-H2S-PPM,legacy-blended,2026-02-03T12:00:00Z,2026-02-03T17:00:00Z
