Analyzer,DetectionClass,CapsuleStartUTC,CapsuleEndUTC
LUBEFLR-NHV-BTU,legacy-blended,2026-06-09T09:00:00Z,2026-06-09T12:00:00Z
LUBEFLR-NHV-BTU,legacy-blended,2026-06-09T13:00:00Z,2026-06-09T15:00:00Z
LUBEFLR-NHV-BTU,legacy-blended,2026-06-10T13:00:00Z,2026-06-10T14:00:00Z
LUBEFLR-NHV-BTU,legacy-blended,2026-06-16T13:00:00Z,2026-06-16T15:00:00Z
LUBEFLR-NHV-BTU,legacy-blended,2026-06-16T16:00:00Z,2026-06-16T17:00:00Z
LUBEFLR-H2S-PCT,legacy-blended,2026-06-09T00:00:00Z,2026-06-09T12:00:00Z
LUBEFLR-H2S-PCT,legacy-blended,2026-06-09T12:00:00Z,2026-06-09T17:00:00Z
LUBEFLR-H2S-PCT,legacy-blended,2026-06-10T13:00:00Z,2026-06-10T15:00:00Z
LUBEFLR-H2S-PCT,legacy-blended,2026-06-16T13:00:00Z,2026-06-16T15:00:00Z
LUBEFLR-H2S-PCT,legacy-blended,2026-06-16T16:00:00Z,2026-06-16T17:00:00Z
LUBEFLR-H2S-PPM,legacy-blended,2026-06-09T00:00:00Z,2026-06-09T12:00:00Z
LUBEFLR-H2S-PPM,legacy-blended,2026-06-09T12:00:00Z,2026-06-09T17:00:00Z
LUBEFLR-H2S-PPM,legacy-blended,2026-06-10T13:00:00Z,2026-06-10T15:00:00Z
LUBEFLR-H2S-PPM,legacy-blended,2026-06-16T13:00:00Z,2026-06-16T15:00:00Z
LUBEFLR-H2S-PPM,legacy-blended,2026-06-16T16:00:00Z,2026-06-16T17:00:00Z
