Scenario,EventID,Type,TargetEventID,Analyzer,StartUTC,EndUTC,ReasonCode,Category,Actor,ActedAtUTC,Note,CorrectiveAction,DetectionClass
S1,A1,TechEntry,,NOX-01,2026-04-01T09:00:00+00:00,2026-04-01T10:00:00+00:00,MM-01,,tech,2026-04-01T09:00:00+00:00,Analyzer offline — blown fuse,,
S2,A2,TechEntry,,NOX-01,2026-04-01T09:00:00+00:00,2026-04-01T09:30:00+00:00,QA-01,,tech,2026-04-01T09:00:00+00:00,CGA run — first half,,
S2,A3,TechEntry,,NOX-01,2026-04-01T09:30:00+00:00,2026-04-01T10:00:00+00:00,QA-01,,tech,2026-04-01T09:30:00+00:00,CGA run — second half,,
S3,A4,TechEntry,,NOX-01,2026-04-01T09:00:00+00:00,2026-04-01T10:00:00+00:00,MM-01,,tech,2026-04-01T09:00:00+00:00,Sample pump failure,,
S4,A5,TechEntry,,NOX-01,2026-04-01T09:00:00+00:00,2026-04-01T12:00:00+00:00,MM-01,,tech,2026-04-01T09:00:00+00:00,Analyzer down (initial estimate),,
S4,A5-AMD,Correction,A5,NOX-01,2026-04-01T09:00:00+00:00,2026-04-01T10:00:00+00:00,MM-01,,tech,2026-04-01T10:00:00+00:00,"Corrected: restored by 10:00, not 12:00",,
S5,B6,SeeqDetection,,NOX-01,2026-04-01T09:00:00+00:00,2026-04-01T10:00:00+00:00,,,seeq-auto,2026-04-01T09:00:00+00:00,,,status-offline
S5,B6-DIS,DismissalProposed,B6,NOX-01,2026-04-01T09:00:00+00:00,2026-04-01T10:00:00+00:00,,dismissal,tech,2026-04-01T09:30:00+00:00,Sensor purge cycle — not a real outage,,
S5,B6-APP,Approval,B6,NOX-01,2026-04-01T09:00:00+00:00,2026-04-01T10:00:00+00:00,,dismissal,supervisor,2026-04-01T10:00:00+00:00,Approved,,
S6-QA-01,B7,SeeqDetection,,NOX-01,2026-04-01T08:22:00+00:00,2026-04-01T10:40:00+00:00,,,seeq-auto,2026-04-01T08:22:00+00:00,,,status-offline
S6-QA-01,B7-CF,Confirmation,B7,NOX-01,2026-04-01T08:22:00+00:00,2026-04-01T10:40:00+00:00,QA-01,,tech,2026-04-01T08:23:00+00:00,,,
S6-MM-01,B8,SeeqDetection,,NOX-01,2026-04-01T08:22:00+00:00,2026-04-01T10:40:00+00:00,,,seeq-auto,2026-04-01T08:22:00+00:00,,,status-offline
S6-MM-01,B8-CF,Confirmation,B8,NOX-01,2026-04-01T08:22:00+00:00,2026-04-01T10:40:00+00:00,MM-01,,tech,2026-04-01T08:23:00+00:00,,,
S7-T4,B9,SeeqDetection,,O2,2026-04-01T09:00:00+00:00,2026-04-01T11:00:00+00:00,,,seeq-auto,2026-04-01T09:00:00+00:00,,,status-offline
S7-T4,B9-CF,Confirmation,B9,O2,2026-04-01T09:00:00+00:00,2026-04-01T11:00:00+00:00,MM-01,,tech,2026-04-01T09:01:00+00:00,,,
S7-T4,B10,SeeqDetection,,NOx,2026-04-01T13:00:00+00:00,2026-04-01T14:00:00+00:00,,,seeq-auto,2026-04-01T13:00:00+00:00,,,status-offline
S7-T4,B10-CF,Confirmation,B10,NOx,2026-04-01T13:00:00+00:00,2026-04-01T14:00:00+00:00,MM-01,,tech,2026-04-01T13:01:00+00:00,,,
S7-T4d,A11,TechEntry,,O2,2026-04-01T09:00:00+00:00,2026-04-01T11:00:00+00:00,MM-01,,tech,2026-04-01T09:00:00+00:00,"O2 analyzer down — logged by tech, no capsule",,
S7-T4d,B12,SeeqDetection,,NOx,2026-04-01T13:00:00+00:00,2026-04-01T14:00:00+00:00,,,seeq-auto,2026-04-01T13:00:00+00:00,,,status-offline
S7-T4d,B12-CF,Confirmation,B12,NOx,2026-04-01T13:00:00+00:00,2026-04-01T14:00:00+00:00,MM-01,,tech,2026-04-01T13:01:00+00:00,,,
S8,B13,SeeqDetection,,NOX-01,2026-04-01T09:00:00+00:00,2026-04-01T11:00:00+00:00,,,seeq-auto,2026-04-01T09:00:00+00:00,,,status-offline
S8,B13-CF,Confirmation,B13,NOX-01,2026-04-01T09:00:00+00:00,2026-04-01T11:00:00+00:00,MM-01,,tech,2026-04-01T09:01:00+00:00,,,
S9,B14,SeeqDetection,,NOx-P,2026-04-01T10:00:00+00:00,2026-04-01T14:00:00+00:00,,,seeq-auto,2026-04-01T10:00:00+00:00,,,status-offline
S9,B14-CF,Confirmation,B14,NOx-P,2026-04-01T10:00:00+00:00,2026-04-01T14:00:00+00:00,MM-01,,tech,2026-04-01T10:01:00+00:00,,,
S9,B15,SeeqDetection,,NOx-T,2026-04-01T12:00:00+00:00,2026-04-01T16:00:00+00:00,,,seeq-auto,2026-04-01T12:00:00+00:00,,,status-offline
S9,B15-CF,Confirmation,B15,NOx-T,2026-04-01T12:00:00+00:00,2026-04-01T16:00:00+00:00,MM-01,,tech,2026-04-01T12:01:00+00:00,,,
S10a,A16,TechEntry,,NOX-01,2026-04-01T08:00:00+00:00,2026-04-01T10:00:00+00:00,MM-01,,tech,2026-04-01T08:00:00+00:00,Blown fuse on sample pump,"Fuse replaced, verified on span gas 10:05",
S10b,A17,TechEntry,,NOX-01,2026-04-01T08:00:00+00:00,2026-04-01T10:00:00+00:00,MM-01,,tech,2026-04-01T08:00:00+00:00,Analyzer down 8-10 (tech estimate),,
S10c,A18,TechEntry,,NOX-01,2026-04-01T08:00:00+00:00,2026-04-01T10:00:00+00:00,MM-01,,tech,2026-04-01T08:00:00+00:00,Analyzer down 8-10 (tech estimate),,
S10c,A18-PICK,WindowPick,A18,NOX-01,,,,use-B,r.huddleston,2026-04-01T11:00:00+00:00,synthetic approval stand-in,,
S10d,A19,TechEntry,,NOX-01,2026-04-01T08:00:00+00:00,2026-04-01T10:00:00+00:00,MM-01,,tech,2026-04-01T08:00:00+00:00,Analyzer down 8-10 (tech estimate),,
S10d,A19-PICK,WindowPick,A19,NOX-01,,,,use-A,r.huddleston,2026-04-01T11:00:00+00:00,synthetic approval stand-in,,
