Scenario,Analyzer,State,ResolvedWindows,ResolvedMinutes,SourceUsed,Disagreement,WindowA,WindowsB,ReasonCode,Note,CorrectiveAction,ApproverName,ApproverDecision,ApprovedAtUTC,GoverningParagraphs,DownHours,ContributingRecords
S1,NOX-01,auto-approved,09:00-10:00,60.0,concurrence (A=B),,09:00-10:00,09:00-10:00,MM-01,Analyzer offline — blown fuse,,auto,concurrence,,(i),09:00,A1;CAP:NOX-01:status-offline:2026-04-01T09:00:00+00:00:2026-04-01T10:00:00+00:00
S2,NOX-01,auto-approved,09:00-10:00,60.0,concurrence (A=B),,09:00-10:00,09:00-10:00,QA-01,CGA run — second half,,auto,concurrence,,(iii)(A),09:00,A2;A3;CAP:NOX-01:status-offline:2026-04-01T09:00:00+00:00:2026-04-01T10:00:00+00:00
S3,NOX-01,auto-approved,09:00-10:00,60.0,concurrence (A=B),,09:00-10:00,09:00-10:00,MM-01,Sample pump failure,,auto,concurrence,,(i),09:00,A4;CAP:NOX-01:status-offline:2026-04-01T09:00:00+00:00:2026-04-01T09:30:00+00:00;CAP:NOX-01:status-offline:2026-04-01T09:30:00+00:00:2026-04-01T10:00:00+00:00
S4,NOX-01,auto-approved,09:00-10:00,60.0,concurrence (A=B),,09:00-10:00,09:00-10:00,MM-01,"Corrected: restored by 10:00, not 12:00",,auto,concurrence,,(i),09:00,A5;A5-AMD;CAP:NOX-01:status-offline:2026-04-01T09:00:00+00:00:2026-04-01T10:00:00+00:00
S5,NOX-01,auto-approved,09:00-10:00,60.0,B only,,—,09:00-10:00,,,,auto,single-source,,(i),,CAP:NOX-01:status-offline:2026-04-01T09:00:00+00:00:2026-04-01T10:00:00+00:00
S6-QA-01,NOX-01,auto-approved,08:22-10:40,138.0,B only,,—,08:22-10:40,QA-01,,,auto,single-source,,(iii)(A),09:00,B7;B7-CF
S6-MM-01,NOX-01,auto-approved,08:22-10:40,138.0,B only,,—,08:22-10:40,MM-01,,,auto,single-source,,(i),08:00;09:00;10:00,B8;B8-CF
S7-T4,NOx,auto-approved,13:00-14:00,60.0,B only,,—,13:00-14:00,MM-01,,,auto,single-source,,(i),13:00,B21;B21-CF
S7-T4,O2,auto-approved,09:00-11:00,120.0,B only,,—,09:00-11:00,MM-01,,,auto,single-source,,(i),09:00;10:00,B20;B20-CF
S7-T4d,NOx,auto-approved,13:00-14:00,60.0,B only,,—,13:00-14:00,MM-01,,,auto,single-source,,(i),13:00,B23;B23-CF
S7-T4d,O2,auto-approved,09:00-11:00,120.0,A only,,09:00-11:00,—,MM-01,"O2 analyzer down — logged by tech, no capsule",,auto,single-source,,(i),09:00;10:00,A22
S8,NOX-01,auto-approved,09:00-11:00,120.0,B only,,—,09:00-11:00,MM-01,,,auto,single-source,,(i);not-operating,10:00,B13;B13-CF
S9,NOx-P,auto-approved,10:00-14:00,240.0,B only,,—,10:00-14:00,MM-01,,,auto,single-source,,(i),10:00;11:00;12:00;13:00,B24;B24-CF
S9,NOx-T,auto-approved,12:00-16:00,240.0,B only,,—,12:00-16:00,MM-01,,,auto,single-source,,(i),12:00;13:00;14:00;15:00,B25;B25-CF
S10a,NOX-01,auto-approved,08:00-10:00,120.0,concurrence (A=B),,08:00-10:00,08:00-10:00,MM-01,Blown fuse on sample pump,"Fuse replaced, verified on span gas 10:05",auto,concurrence,,(i),08:00;09:00,A16;CAP:NOX-01:status-offline:2026-04-01T08:00:00+00:00:2026-04-01T10:00:00+00:00
S10b,NOX-01,pending,08:00-10:00,120.0,union (pending),A logs 08:00-10:00; B detects 08:00-09:00 + 09:15-10:00; B shows signal VALID during 09:00-09:15,08:00-10:00,08:00-09:00 + 09:15-10:00,MM-01,Analyzer down 8-10 (tech estimate),,,,,(i),08:00;09:00,A17;CAP:NOX-01:status-offline:2026-04-01T08:00:00+00:00:2026-04-01T09:00:00+00:00;CAP:NOX-01:status-offline:2026-04-01T09:15:00+00:00:2026-04-01T10:00:00+00:00
S10c,NOX-01,approved,08:00-09:00 + 09:15-10:00,105.0,pick:use-B,A logs 08:00-10:00; B detects 08:00-09:00 + 09:15-10:00; B shows signal VALID during 09:00-09:15,08:00-10:00,08:00-09:00 + 09:15-10:00,MM-01,Analyzer down 8-10 (tech estimate),,r.huddleston,pick:use-B,2026-04-01T11:00:00+00:00,(i),08:00;09:00,A18;A18-PICK;CAP:NOX-01:status-offline:2026-04-01T08:00:00+00:00:2026-04-01T09:00:00+00:00;CAP:NOX-01:status-offline:2026-04-01T09:15:00+00:00:2026-04-01T10:00:00+00:00
S10d,NOX-01,approved,08:00-10:00,120.0,pick:use-A,A logs 08:00-10:00; B detects 08:00-09:00 + 09:15-10:00; B shows signal VALID during 09:00-09:15,08:00-10:00,08:00-09:00 + 09:15-10:00,MM-01,Analyzer down 8-10 (tech estimate),,r.huddleston,pick:use-A,2026-04-01T11:00:00+00:00,(i),08:00;09:00,A19;A19-PICK;CAP:NOX-01:status-offline:2026-04-01T08:00:00+00:00:2026-04-01T09:00:00+00:00;CAP:NOX-01:status-offline:2026-04-01T09:15:00+00:00:2026-04-01T10:00:00+00:00
