Scenario,EventID,Type,TargetEventID,Analyzer,StartUTC,EndUTC,ReasonCode,Category,Actor,ActedAtUTC,Note,CorrectiveAction,DetectionClass
T01,E01,SeeqDetection,,B15-NOx,2026-04-01T01:00:00+00:00,2026-04-01T03:00:00+00:00,,,tech,2026-04-01T01:00:00+00:00,,,status-offline
T01,E01c,Confirmation,E01,B15-NOx,2026-04-01T01:00:00+00:00,2026-04-01T03:00:00+00:00,MM-01,,tech,2026-04-01T01:00:00+00:00,NOx offline,,
T02,E02,TechEntry,,SRU-O2,2026-04-01T02:00:00+00:00,2026-04-01T04:00:00+00:00,MM-01,,tech,2026-04-01T02:00:00+00:00,SRU O2 manual outage,,
T03,E03,SeeqDetection,,B15-O2,2026-04-01T05:00:00+00:00,2026-04-01T07:00:00+00:00,,,tech,2026-04-01T05:00:00+00:00,,,status-offline
T04,E04,TechEntry,,B15-NOx,2026-04-01T06:00:00+00:00,,QA-01,,tech,2026-04-01T06:00:00+00:00,start-only CGA marker,,
T05,E05,SeeqDetection,,SRU-SO2,2026-04-01T08:00:00+00:00,2026-04-01T09:00:00+00:00,,,tech,2026-04-01T08:00:00+00:00,,,status-offline
T05,E05d,DismissalProposed,E05,SRU-SO2,2026-04-01T08:00:00+00:00,2026-04-01T09:00:00+00:00,,dismissal,tech,2026-04-01T08:00:00+00:00,purge cycle,,
T05,E05a,Approval,E05,SRU-SO2,2026-04-01T08:00:00+00:00,2026-04-01T09:00:00+00:00,,dismissal,tech,2026-04-01T09:30:00+00:00,approved,,
T06,E06,TechEntry,,B15-CO,2026-04-01T10:00:00+00:00,2026-04-01T12:00:00+00:00,NM-01,,tech,2026-04-01T10:00:00+00:00,CO non-monitor issue,,
T07,E07,SeeqDetection,,SRU-O2,2026-04-01T11:00:00+00:00,2026-04-01T13:00:00+00:00,,,tech,2026-04-01T11:00:00+00:00,,,status-offline
T08,E08,TechEntry,,B15-O2,2026-04-01T12:00:00+00:00,2026-04-01T14:00:00+00:00,MM-01,,tech,2026-04-01T12:00:00+00:00,B15 O2 manual,,
T09,E09,TechEntry,,SRU-SO2,2026-04-01T09:00:00+00:00,2026-04-01T11:00:00+00:00,MM-01,,tech,2026-04-01T09:00:00+00:00,tech says 9-11,,
T10,E10,TechEntry,,B15-NOx,2026-04-01T15:00:00+00:00,2026-04-01T18:00:00+00:00,MM-01,,tech,2026-04-01T15:00:00+00:00,initial estimate,,
T10,E10c,Correction,E10,B15-NOx,2026-04-01T15:00:00+00:00,2026-04-01T16:00:00+00:00,,,tech,2026-04-01T16:30:00+00:00,amended to 15-16,,
T11,E11,SeeqDetection,,B15-CO,2026-04-01T16:00:00+00:00,2026-04-01T17:00:00+00:00,,,tech,2026-04-01T16:00:00+00:00,,,status-offline
T12,E12,TechEntry,,SRU-O2,2026-04-01T17:00:00+00:00,2026-04-01T19:00:00+00:00,UK-01,,tech,2026-04-01T17:00:00+00:00,unknown cause,,
T13,E13,SeeqDetection,,B15-NOx,2026-04-01T18:00:00+00:00,2026-04-01T20:00:00+00:00,,,tech,2026-04-01T18:00:00+00:00,,,status-offline
T13,E13c,Confirmation,E13,B15-NOx,2026-04-01T18:00:00+00:00,2026-04-01T20:00:00+00:00,OK-01,,tech,2026-04-01T18:00:00+00:00,,,
T14,E14,TechEntry,,B15-CO,2026-04-01T19:00:00+00:00,2026-04-01T21:00:00+00:00,QA-01,,tech,2026-04-01T19:00:00+00:00,CGA on CO,,
T15,E15,TechEntry,,SRU-SO2,2026-04-01T20:00:00+00:00,2026-04-01T22:00:00+00:00,MM-01,,tech,2026-04-01T20:00:00+00:00,SO2 own outage,,
T16,E16,SeeqDetection,,SRU-O2,2026-04-01T21:00:00+00:00,2026-04-01T23:00:00+00:00,,,tech,2026-04-01T21:00:00+00:00,,,status-offline
T16,E16d,DismissalProposed,E16,SRU-O2,2026-04-01T21:00:00+00:00,2026-04-01T23:00:00+00:00,,dismissal,tech,2026-04-01T21:00:00+00:00,,,
T16,E16r,DismissalRejected,E16,SRU-O2,2026-04-01T21:00:00+00:00,2026-04-01T23:00:00+00:00,,dismissal,tech,2026-04-01T23:30:00+00:00,rejected,,
T17,E17,TechEntry,,B15-O2,2026-04-01T00:00:00+00:00,2026-04-01T01:00:00+00:00,MM-01,,tech,2026-04-01T00:00:00+00:00,early O2 blip,,
T18,E18,TechEntry,,B15-NOx;B15-CO,2026-04-01T03:00:00+00:00,2026-04-01T04:00:00+00:00,QA-01,,tech,2026-04-01T03:00:00+00:00,joint CGA on NOx and CO,,
T19,E19,SeeqDetection,,SRU-SO2,2026-04-01T04:00:00+00:00,2026-04-01T06:00:00+00:00,,,tech,2026-04-01T04:00:00+00:00,,,status-offline
T20,E20,TechEntry,,SRU-O2,2026-04-01T06:00:00+00:00,2026-04-01T08:00:00+00:00,MM-01,,tech,2026-04-01T06:00:00+00:00,"manual O2, pick to follow",,
T20,E20p,WindowPick,E20,SRU-O2,2026-04-01T06:30:00+00:00,2026-04-01T07:30:00+00:00,,corrected,tech,2026-04-01T12:00:00+00:00,approver corrected window,,
T21,E21,SeeqDetection,,B15-CO,2026-04-01T07:00:00+00:00,2026-04-01T09:00:00+00:00,,,tech,2026-04-01T07:00:00+00:00,,,status-offline
T22,E22,TechEntry,,B15-NOx,2026-04-01T22:00:00+00:00,2026-04-01T23:00:00+00:00,MM-01,,tech,2026-04-01T22:00:00+00:00,late NOx,,
T23,E23,TechEntry,,SRU-SO2,2026-04-01T13:00:00+00:00,,,,tech,2026-04-01T13:00:00+00:00,touch-up start-only,,
T24,E24,SeeqDetection,,B15-O2,2026-04-01T20:00:00+00:00,2026-04-01T22:00:00+00:00,,,tech,2026-04-01T20:00:00+00:00,,,status-offline
T25,E25,TechEntry,,B15-CO,2026-04-01T23:00:00+00:00,2026-04-02T00:00:00+00:00,MM-01,,tech,2026-04-01T23:00:00+00:00,end of day CO,,
