Scenario,Analyzer,DetectionClass,CapsuleStartUTC,CapsuleEndUTC
T01,B15-NOx,status-offline,2026-04-01T01:00:00+00:00,2026-04-01T03:00:00+00:00
T03,B15-O2,status-offline,2026-04-01T05:00:00+00:00,2026-04-01T07:00:00+00:00
T05,SRU-SO2,status-offline,2026-04-01T08:00:00+00:00,2026-04-01T09:00:00+00:00
T07,SRU-O2,status-offline,2026-04-01T11:00:00+00:00,2026-04-01T13:00:00+00:00
T09,SRU-SO2,status-offline,2026-04-01T09:00:00+00:00,2026-04-01T10:00:00+00:00
T09,SRU-SO2,status-offline,2026-04-01T10:15:00+00:00,2026-04-01T11:00:00+00:00
T11,B15-CO,status-offline,2026-04-01T16:00:00+00:00,2026-04-01T17:00:00+00:00
T13,B15-NOx,status-offline,2026-04-01T18:00:00+00:00,2026-04-01T20:00:00+00:00
T16,SRU-O2,status-offline,2026-04-01T21:00:00+00:00,2026-04-01T23:00:00+00:00
T19,SRU-SO2,status-offline,2026-04-01T04:00:00+00:00,2026-04-01T06:00:00+00:00
T21,B15-CO,status-offline,2026-04-01T07:00:00+00:00,2026-04-01T09:00:00+00:00
T24,B15-O2,status-offline,2026-04-01T20:00:00+00:00,2026-04-01T22:00:00+00:00
