Scenario,Analyzer,Obligation,HourUTC,Verdict,Paragraph
M1,SRU-SO2,SO2,05:00,valid,(i)
M1,SRU-SO2,SO2,06:00,valid,(i)
M1,SRU-SO2,SO2,07:00,valid,(i)
M1,SRU-SO2,SO2,08:00,valid,(i)
M1,SRU-SO2,SO2,09:00,DOWN,(i)
M1,SRU-SO2,SO2,10:00,DOWN,(i)
M1,SRU-SO2,SO2,11:00,valid,(i)
M1,SRU-SO2,SO2,12:00,valid,(i)
M1,SRU-SO2,SO2,13:00,valid,(i)
M1,SRU-SO2,SO2,14:00,valid,(i)
M1,SRU-SO2,SO2,15:00,valid,(i)
M1,SRU-O2,O2,05:00,valid,(i)
M1,SRU-O2,O2,06:00,valid,(i)
M1,SRU-O2,O2,07:00,valid,(i)
M1,SRU-O2,O2,08:00,valid,(i)
M1,SRU-O2,O2,09:00,DOWN,(i)
M1,SRU-O2,O2,10:00,DOWN,(i)
M1,SRU-O2,O2,11:00,valid,(i)
M1,SRU-O2,O2,12:00,valid,(i)
M1,SRU-O2,O2,13:00,valid,(i)
M1,SRU-O2,O2,14:00,valid,(i)
M1,SRU-O2,O2,15:00,valid,(i)
M2,B15-NOx,NOx,05:00,valid,(i)
M2,B15-NOx,NOx,06:00,valid,(i)
M2,B15-NOx,NOx,07:00,valid,(i)
M2,B15-NOx,NOx,08:00,valid,(i)
M2,B15-NOx,NOx,09:00,DOWN,(i)
M2,B15-NOx,NOx,10:00,DOWN,(i)
M2,B15-NOx,NOx,11:00,valid,(i)
M2,B15-NOx,NOx,12:00,valid,(i)
M2,B15-NOx,NOx,13:00,valid,(i)
M2,B15-NOx,NOx,14:00,valid,(i)
M2,B15-NOx,NOx,15:00,valid,(i)
M2,B15-CO,CO,05:00,valid,(i)
M2,B15-CO,CO,06:00,valid,(i)
M2,B15-CO,CO,07:00,valid,(i)
M2,B15-CO,CO,08:00,valid,(i)
M2,B15-CO,CO,09:00,DOWN,(i)
M2,B15-CO,CO,10:00,DOWN,(i)
M2,B15-CO,CO,11:00,valid,(i)
M2,B15-CO,CO,12:00,valid,(i)
M2,B15-CO,CO,13:00,valid,(i)
M2,B15-CO,CO,14:00,valid,(i)
M2,B15-CO,CO,15:00,valid,(i)
M2,B15-O2,O2,05:00,valid,(i)
M2,B15-O2,O2,06:00,valid,(i)
M2,B15-O2,O2,07:00,valid,(i)
M2,B15-O2,O2,08:00,valid,(i)
M2,B15-O2,O2,09:00,DOWN,(i)
M2,B15-O2,O2,10:00,DOWN,(i)
M2,B15-O2,O2,11:00,valid,(i)
M2,B15-O2,O2,12:00,valid,(i)
M2,B15-O2,O2,13:00,valid,(i)
M2,B15-O2,O2,14:00,valid,(i)
M2,B15-O2,O2,15:00,valid,(i)
M3,B15-NOx,NOx,05:00,valid,(i)
M3,B15-NOx,NOx,06:00,DOWN,(i)
M3,B15-NOx,NOx,07:00,DOWN,(i)
M3,B15-NOx,NOx,08:00,valid,(i)
M3,B15-NOx,NOx,09:00,valid,(i)
M3,B15-NOx,NOx,10:00,valid,(i)
M3,B15-NOx,NOx,11:00,valid,(i)
M3,B15-NOx,NOx,12:00,valid,(i)
M3,B15-NOx,NOx,13:00,valid,(i)
M3,B15-NOx,NOx,14:00,valid,(i)
M3,B15-NOx,NOx,15:00,valid,(i)
M3,B15-CO,CO,05:00,valid,(i)
M3,B15-CO,CO,06:00,valid,(i)
M3,B15-CO,CO,07:00,valid,(i)
M3,B15-CO,CO,08:00,valid,(i)
M3,B15-CO,CO,09:00,valid,(i)
M3,B15-CO,CO,10:00,valid,(i)
M3,B15-CO,CO,11:00,valid,(i)
M3,B15-CO,CO,12:00,valid,(i)
M3,B15-CO,CO,13:00,valid,(i)
M3,B15-CO,CO,14:00,valid,(i)
M3,B15-CO,CO,15:00,valid,(i)
M3,B15-O2,O2,05:00,valid,(i)
M3,B15-O2,O2,06:00,valid,(i)
M3,B15-O2,O2,07:00,valid,(i)
M3,B15-O2,O2,08:00,valid,(i)
M3,B15-O2,O2,09:00,valid,(i)
M3,B15-O2,O2,10:00,valid,(i)
M3,B15-O2,O2,11:00,valid,(i)
M3,B15-O2,O2,12:00,valid,(i)
M3,B15-O2,O2,13:00,valid,(i)
M3,B15-O2,O2,14:00,valid,(i)
M3,B15-O2,O2,15:00,valid,(i)
M4,SRU-SO2,SO2,05:00,valid,(i)
M4,SRU-SO2,SO2,06:00,valid,(i)
M4,SRU-SO2,SO2,07:00,valid,(i)
M4,SRU-SO2,SO2,08:00,valid,(i)
M4,SRU-SO2,SO2,09:00,valid,(i)
M4,SRU-SO2,SO2,10:00,valid,(i)
M4,SRU-SO2,SO2,11:00,valid,(i)
M4,SRU-SO2,SO2,12:00,valid,(i)
M4,SRU-SO2,SO2,13:00,DOWN,(i)
M4,SRU-SO2,SO2,14:00,DOWN,(i)
M4,SRU-SO2,SO2,15:00,valid,(i)
M4,SRU-O2,O2,05:00,valid,(i)
M4,SRU-O2,O2,06:00,valid,(i)
M4,SRU-O2,O2,07:00,valid,(i)
M4,SRU-O2,O2,08:00,valid,(i)
M4,SRU-O2,O2,09:00,valid,(i)
M4,SRU-O2,O2,10:00,valid,(i)
M4,SRU-O2,O2,11:00,valid,(i)
M4,SRU-O2,O2,12:00,valid,(i)
M4,SRU-O2,O2,13:00,DOWN,(i)
M4,SRU-O2,O2,14:00,DOWN,(i)
M4,SRU-O2,O2,15:00,valid,(i)
M5,B15-NOx,NOx,05:00,valid,(i)
M5,B15-NOx,NOx,06:00,valid,(i)
M5,B15-NOx,NOx,07:00,valid,(i)
M5,B15-NOx,NOx,08:00,valid,(i)
M5,B15-NOx,NOx,09:00,DOWN,(iii)(A)
M5,B15-NOx,NOx,10:00,valid,(i)
M5,B15-NOx,NOx,11:00,valid,(i)
M5,B15-NOx,NOx,12:00,valid,(i)
M5,B15-NOx,NOx,13:00,valid,(i)
M5,B15-NOx,NOx,14:00,valid,(i)
M5,B15-NOx,NOx,15:00,valid,(i)
M5,B15-CO,CO,05:00,valid,(i)
M5,B15-CO,CO,06:00,valid,(i)
M5,B15-CO,CO,07:00,valid,(i)
M5,B15-CO,CO,08:00,valid,(i)
M5,B15-CO,CO,09:00,DOWN,(iii)(A)
M5,B15-CO,CO,10:00,valid,(i)
M5,B15-CO,CO,11:00,valid,(i)
M5,B15-CO,CO,12:00,valid,(i)
M5,B15-CO,CO,13:00,valid,(i)
M5,B15-CO,CO,14:00,valid,(i)
M5,B15-CO,CO,15:00,valid,(i)
M5,B15-O2,O2,05:00,valid,(i)
M5,B15-O2,O2,06:00,valid,(i)
M5,B15-O2,O2,07:00,valid,(i)
M5,B15-O2,O2,08:00,valid,(i)
M5,B15-O2,O2,09:00,valid,(i)
M5,B15-O2,O2,10:00,valid,(i)
M5,B15-O2,O2,11:00,valid,(i)
M5,B15-O2,O2,12:00,valid,(i)
M5,B15-O2,O2,13:00,valid,(i)
M5,B15-O2,O2,14:00,valid,(i)
M5,B15-O2,O2,15:00,valid,(i)
M6,SRU-SO2,SO2,05:00,valid,(i)
M6,SRU-SO2,SO2,06:00,valid,(i)
M6,SRU-SO2,SO2,07:00,valid,(i)
M6,SRU-SO2,SO2,08:00,valid,(i)
M6,SRU-SO2,SO2,09:00,valid,(i)
M6,SRU-SO2,SO2,10:00,valid,(i)
M6,SRU-SO2,SO2,11:00,valid,(i)
M6,SRU-SO2,SO2,12:00,valid,(iii)(A)
M6,SRU-SO2,SO2,13:00,valid,(iii)(A)
M6,SRU-SO2,SO2,14:00,valid,(i)
M6,SRU-SO2,SO2,15:00,valid,(i)
M6,SRU-O2,O2,05:00,valid,(i)
M6,SRU-O2,O2,06:00,valid,(i)
M6,SRU-O2,O2,07:00,valid,(i)
M6,SRU-O2,O2,08:00,valid,(i)
M6,SRU-O2,O2,09:00,valid,(i)
M6,SRU-O2,O2,10:00,valid,(i)
M6,SRU-O2,O2,11:00,valid,(i)
M6,SRU-O2,O2,12:00,valid,(i)
M6,SRU-O2,O2,13:00,valid,(i)
M6,SRU-O2,O2,14:00,valid,(i)
M6,SRU-O2,O2,15:00,valid,(i)
