Analyzer,State,ResolvedWindows,ResolvedMinutes,SourceUsed,Disagreement,WindowA,WindowsB,ReasonCode,Note,CorrectiveAction,ApproverName,ApproverDecision,ApprovedAtUTC,GoverningParagraphs,DownHours,ContributingRecords
Boiler_15 - CO,auto-approved,2026-04-02T09:00:00+00:00/2026-04-02T11:00:00+00:00,120.0,diluent-propagated (from Boiler_15 - O2),,,,MM-01,Invalid because diluent Boiler_15 - O2 was down: O2 chiller failed - analyzer offline,,auto,diluent-propagation,,(i),2026-04-02T09:00:00+00:00;2026-04-02T10:00:00+00:00,DILUENT:Boiler_15 - O2;EV1
Boiler_15 - CO,auto-approved,2026-04-02T13:00:00+00:00/2026-04-02T14:00:00+00:00,60.0,A only,,2026-04-02T13:00:00+00:00/2026-04-02T14:00:00+00:00,,QA-01,Quarterly CGA on NOx and CO,CGA passed on both,auto,single-source,,(iii)(A),2026-04-02T13:00:00+00:00,EV3
Boiler_15 - NOx,auto-approved,2026-04-02T06:00:00+00:00/2026-04-02T07:00:00+00:00,60.0,A only,,2026-04-02T06:00:00+00:00/2026-04-02T07:00:00+00:00,,MM-01,Corrected extent after review,Recalibrated and reran validation - passed,auto,single-source,,(i),2026-04-02T06:00:00+00:00,EV4;EV5
Boiler_15 - NOx,auto-approved,2026-04-02T09:00:00+00:00/2026-04-02T11:00:00+00:00,120.0,diluent-propagated (from Boiler_15 - O2),,,,MM-01,Invalid because diluent Boiler_15 - O2 was down: O2 chiller failed - analyzer offline,,auto,diluent-propagation,,(i),2026-04-02T09:00:00+00:00;2026-04-02T10:00:00+00:00,DILUENT:Boiler_15 - O2;EV1
Boiler_15 - NOx,auto-approved,2026-04-02T13:00:00+00:00/2026-04-02T14:00:00+00:00,60.0,A only,,2026-04-02T13:00:00+00:00/2026-04-02T14:00:00+00:00,,QA-01,Quarterly CGA on NOx and CO,CGA passed on both,auto,single-source,,(iii)(A),2026-04-02T13:00:00+00:00,EV3
Boiler_15 - O2,auto-approved,2026-04-02T09:00:00+00:00/2026-04-02T11:00:00+00:00,120.0,A only,,2026-04-02T09:00:00+00:00/2026-04-02T11:00:00+00:00,,MM-01,O2 chiller failed - analyzer offline,Replaced chiller and recalibrated,auto,single-source,,(i),2026-04-02T09:00:00+00:00;2026-04-02T10:00:00+00:00,EV1
SRU - O2,auto-approved,2026-04-02T09:00:00+00:00/2026-04-02T11:00:00+00:00,120.0,A only,,2026-04-02T09:00:00+00:00/2026-04-02T11:00:00+00:00,,MM-01,O2 drift after vent line blockage - logged by tech,Blew out vent header and recalibrated,auto,single-source,,(i),2026-04-02T09:00:00+00:00;2026-04-02T10:00:00+00:00,EV2
SRU - O2,auto-approved,2026-04-02T20:00:00+00:00/2026-04-02T22:00:00+00:00,120.0,A only,,2026-04-02T20:00:00+00:00/2026-04-02T22:00:00+00:00,,UK-01,O2 dropout - cause under investigation,Restored - monitoring,auto,single-source,,(i),2026-04-02T20:00:00+00:00;2026-04-02T21:00:00+00:00,EV7
SRU - SO2,auto-approved,2026-04-02T09:00:00+00:00/2026-04-02T11:00:00+00:00,120.0,diluent-propagated (from SRU - O2),,,,MM-01,Invalid because diluent SRU - O2 was down: O2 drift after vent line blockage - logged by tech,,auto,diluent-propagation,,(i),2026-04-02T09:00:00+00:00;2026-04-02T10:00:00+00:00,DILUENT:SRU - O2;EV2
SRU - SO2,auto-approved,2026-04-02T15:00:00+00:00/2026-04-02T16:00:00+00:00,60.0,A only,,2026-04-02T15:00:00+00:00/2026-04-02T16:00:00+00:00,,NM-01,Process upset affecting SO2 reading,Process stabilized,auto,single-source,,(i),2026-04-02T15:00:00+00:00,EV6
SRU - SO2,auto-approved,2026-04-02T20:00:00+00:00/2026-04-02T22:00:00+00:00,120.0,diluent-propagated (from SRU - O2),,,,UK-01,Invalid because diluent SRU - O2 was down: O2 dropout - cause under investigation,,auto,diluent-propagation,,(i),2026-04-02T20:00:00+00:00;2026-04-02T21:00:00+00:00,DILUENT:SRU - O2;EV7
