Analyzer,State,ResolvedWindows,ResolvedMinutes,SourceUsed,Disagreement,WindowA,WindowsB,ReasonCode,Note,CorrectiveAction,ApproverName,ApproverDecision,ApprovedAtUTC,GoverningParagraphs,DownHours,ContributingRecords
B15-CO,auto-approved,2026-04-01T00:00:00+00:00/2026-04-01T01:00:00+00:00,60.0,diluent-propagated (from B15-O2),,,,MM-01,Invalid because diluent B15-O2 was down: early O2 blip,,auto,diluent-propagation,,(i),2026-04-01T00:00:00+00:00,DILUENT:B15-O2;E17
B15-CO,auto-approved,2026-04-01T03:00:00+00:00/2026-04-01T04:00:00+00:00,60.0,A only,,2026-04-01T03:00:00+00:00/2026-04-01T04:00:00+00:00,,QA-01,joint CGA on NOx and CO,,auto,single-source,,(iii)(A),2026-04-01T03:00:00+00:00,E18
B15-CO,auto-approved,2026-04-01T05:00:00+00:00/2026-04-01T07:00:00+00:00,120.0,diluent-propagated (from B15-O2),,,,,Invalid because diluent B15-O2 was down,,auto,diluent-propagation,,(i),2026-04-01T05:00:00+00:00;2026-04-01T06:00:00+00:00,DILUENT:B15-O2;CAP:B15-O2:status-offline:2026-04-01T05:00:00+00:00:2026-04-01T07:00:00+00:00;E03
B15-CO,auto-approved,2026-04-01T07:00:00+00:00/2026-04-01T09:00:00+00:00,120.0,B only,,,2026-04-01T07:00:00+00:00/2026-04-01T09:00:00+00:00,,,,auto,single-source,,(i),2026-04-01T07:00:00+00:00;2026-04-01T08:00:00+00:00,CAP:B15-CO:status-offline:2026-04-01T07:00:00+00:00:2026-04-01T09:00:00+00:00;E21
B15-CO,auto-approved,2026-04-01T10:00:00+00:00/2026-04-01T12:00:00+00:00,120.0,A only,,2026-04-01T10:00:00+00:00/2026-04-01T12:00:00+00:00,,NM-01,CO non-monitor issue,,auto,single-source,,(i),2026-04-01T10:00:00+00:00;2026-04-01T11:00:00+00:00,E06
B15-CO,auto-approved,2026-04-01T12:00:00+00:00/2026-04-01T14:00:00+00:00,120.0,diluent-propagated (from B15-O2),,,,MM-01,Invalid because diluent B15-O2 was down: B15 O2 manual,,auto,diluent-propagation,,(i),2026-04-01T12:00:00+00:00;2026-04-01T13:00:00+00:00,DILUENT:B15-O2;E08
B15-CO,auto-approved,2026-04-01T16:00:00+00:00/2026-04-01T17:00:00+00:00,60.0,B only,,,2026-04-01T16:00:00+00:00/2026-04-01T17:00:00+00:00,,,,auto,single-source,,(i),2026-04-01T16:00:00+00:00,CAP:B15-CO:status-offline:2026-04-01T16:00:00+00:00:2026-04-01T17:00:00+00:00;E11
B15-CO,auto-approved,2026-04-01T19:00:00+00:00/2026-04-01T21:00:00+00:00,120.0,A only,,2026-04-01T19:00:00+00:00/2026-04-01T21:00:00+00:00,,QA-01,CGA on CO,,auto,single-source,,(iii)(A),2026-04-01T19:00:00+00:00;2026-04-01T20:00:00+00:00,E14
B15-CO,auto-approved,2026-04-01T21:00:00+00:00/2026-04-01T22:00:00+00:00,60.0,diluent-propagated (from B15-O2),,,,,Invalid because diluent B15-O2 was down,,auto,diluent-propagation,,(i),2026-04-01T21:00:00+00:00,DILUENT:B15-O2;CAP:B15-O2:status-offline:2026-04-01T20:00:00+00:00:2026-04-01T22:00:00+00:00;E24
B15-CO,auto-approved,2026-04-01T23:00:00+00:00/2026-04-02T00:00:00+00:00,60.0,A only,,2026-04-01T23:00:00+00:00/2026-04-02T00:00:00+00:00,,MM-01,end of day CO,,auto,single-source,,(i),2026-04-01T23:00:00+00:00,E25
B15-NOx,auto-approved,2026-04-01T00:00:00+00:00/2026-04-01T01:00:00+00:00,60.0,diluent-propagated (from B15-O2),,,,MM-01,Invalid because diluent B15-O2 was down: early O2 blip,,auto,diluent-propagation,,(i),2026-04-01T00:00:00+00:00,DILUENT:B15-O2;E17
B15-NOx,auto-approved,2026-04-01T01:00:00+00:00/2026-04-01T03:00:00+00:00,120.0,B only,,,2026-04-01T01:00:00+00:00/2026-04-01T03:00:00+00:00,MM-01,,,auto,single-source,,(i),2026-04-01T01:00:00+00:00;2026-04-01T02:00:00+00:00,CAP:B15-NOx:status-offline:2026-04-01T01:00:00+00:00:2026-04-01T03:00:00+00:00;E01;E01c
B15-NOx,auto-approved,2026-04-01T03:00:00+00:00/2026-04-01T04:00:00+00:00,60.0,A only,,2026-04-01T03:00:00+00:00/2026-04-01T04:00:00+00:00,,QA-01,joint CGA on NOx and CO,,auto,single-source,,(iii)(A),2026-04-01T03:00:00+00:00,E18
