Analyzer,HourStartUTC,HourLocalLabel,OperatingFraction,Valid,RuleApplied,ContributingEventIDs
SRU-SO2,2026-04-01T00:00:00+00:00,2026-03-31 20:00 EDT,1.0,1,(i),
SRU-SO2,2026-04-01T01:00:00+00:00,2026-03-31 21:00 EDT,1.0,1,(i),
SRU-SO2,2026-04-01T02:00:00+00:00,2026-03-31 22:00 EDT,1.0,0,(i),
SRU-SO2,2026-04-01T03:00:00+00:00,2026-03-31 23:00 EDT,1.0,0,(i),
SRU-SO2,2026-04-01T04:00:00+00:00,2026-04-01 00:00 EDT,1.0,0,(i),CAP:SRU-SO2:status-offline:2026-04-01T04:00:00+00:00:2026-04-01T06:00:00+00:00;E19
SRU-SO2,2026-04-01T05:00:00+00:00,2026-04-01 01:00 EDT,1.0,0,(i),CAP:SRU-SO2:status-offline:2026-04-01T04:00:00+00:00:2026-04-01T06:00:00+00:00;E19
SRU-SO2,2026-04-01T06:00:00+00:00,2026-04-01 02:00 EDT,1.0,0,(i),
SRU-SO2,2026-04-01T07:00:00+00:00,2026-04-01 03:00 EDT,1.0,0,(i),
SRU-SO2,2026-04-01T08:00:00+00:00,2026-04-01 04:00 EDT,1.0,1,(i),CAP:SRU-SO2:status-offline:2026-04-01T08:00:00+00:00:2026-04-01T09:00:00+00:00
SRU-SO2,2026-04-01T09:00:00+00:00,2026-04-01 05:00 EDT,1.0,0,(i),CAP:SRU-SO2:status-offline:2026-04-01T09:00:00+00:00:2026-04-01T10:00:00+00:00;E09
SRU-SO2,2026-04-01T10:00:00+00:00,2026-04-01 06:00 EDT,1.0,0,(i),CAP:SRU-SO2:status-offline:2026-04-01T10:15:00+00:00:2026-04-01T11:00:00+00:00;E09
SRU-SO2,2026-04-01T11:00:00+00:00,2026-04-01 07:00 EDT,1.0,0,(i),
SRU-SO2,2026-04-01T12:00:00+00:00,2026-04-01 08:00 EDT,1.0,0,(i),
SRU-SO2,2026-04-01T13:00:00+00:00,2026-04-01 09:00 EDT,1.0,1,(i),
SRU-SO2,2026-04-01T14:00:00+00:00,2026-04-01 10:00 EDT,1.0,1,(i),
SRU-SO2,2026-04-01T15:00:00+00:00,2026-04-01 11:00 EDT,1.0,1,(i),
SRU-SO2,2026-04-01T16:00:00+00:00,2026-04-01 12:00 EDT,1.0,1,(i),
SRU-SO2,2026-04-01T17:00:00+00:00,2026-04-01 13:00 EDT,1.0,0,(i),
SRU-SO2,2026-04-01T18:00:00+00:00,2026-04-01 14:00 EDT,1.0,0,(i),
SRU-SO2,2026-04-01T19:00:00+00:00,2026-04-01 15:00 EDT,1.0,1,(i),
SRU-SO2,2026-04-01T20:00:00+00:00,2026-04-01 16:00 EDT,1.0,0,(i),E15
SRU-SO2,2026-04-01T21:00:00+00:00,2026-04-01 17:00 EDT,1.0,0,(i),E15
SRU-SO2,2026-04-01T22:00:00+00:00,2026-04-01 18:00 EDT,1.0,0,(i),
SRU-SO2,2026-04-01T23:00:00+00:00,2026-04-01 19:00 EDT,1.0,1,(i),
SRU-O2,2026-04-01T00:00:00+00:00,2026-03-31 20:00 EDT,1.0,1,(i),
SRU-O2,2026-04-01T01:00:00+00:00,2026-03-31 21:00 EDT,1.0,1,(i),
SRU-O2,2026-04-01T02:00:00+00:00,2026-03-31 22:00 EDT,1.0,0,(i),E02
SRU-O2,2026-04-01T03:00:00+00:00,2026-03-31 23:00 EDT,1.0,0,(i),E02
SRU-O2,2026-04-01T04:00:00+00:00,2026-04-01 00:00 EDT,1.0,1,(i),
SRU-O2,2026-04-01T05:00:00+00:00,2026-04-01 01:00 EDT,1.0,1,(i),
SRU-O2,2026-04-01T06:00:00+00:00,2026-04-01 02:00 EDT,1.0,0,(i),E20
SRU-O2,2026-04-01T07:00:00+00:00,2026-04-01 03:00 EDT,1.0,0,(i),E20
SRU-O2,2026-04-01T08:00:00+00:00,2026-04-01 04:00 EDT,1.0,1,(i),
SRU-O2,2026-04-01T09:00:00+00:00,2026-04-01 05:00 EDT,1.0,1,(i),
SRU-O2,2026-04-01T10:00:00+00:00,2026-04-01 06:00 EDT,1.0,1,(i),
SRU-O2,2026-04-01T11:00:00+00:00,2026-04-01 07:00 EDT,1.0,0,(i),CAP:SRU-O2:status-offline:2026-04-01T11:00:00+00:00:2026-04-01T13:00:00+00:00;E07
SRU-O2,2026-04-01T12:00:00+00:00,2026-04-01 08:00 EDT,1.0,0,(i),CAP:SRU-O2:status-offline:2026-04-01T11:00:00+00:00:2026-04-01T13:00:00+00:00;E07
SRU-O2,2026-04-01T13:00:00+00:00,2026-04-01 09:00 EDT,1.0,1,(i),
SRU-O2,2026-04-01T14:00:00+00:00,2026-04-01 10:00 EDT,1.0,1,(i),
SRU-O2,2026-04-01T15:00:00+00:00,2026-04-01 11:00 EDT,1.0,1,(i),
SRU-O2,2026-04-01T16:00:00+00:00,2026-04-01 12:00 EDT,1.0,1,(i),
SRU-O2,2026-04-01T17:00:00+00:00,2026-04-01 13:00 EDT,1.0,0,(i),E12
SRU-O2,2026-04-01T18:00:00+00:00,2026-04-01 14:00 EDT,1.0,0,(i),E12
SRU-O2,2026-04-01T19:00:00+00:00,2026-04-01 15:00 EDT,1.0,1,(i),
SRU-O2,2026-04-01T20:00:00+00:00,2026-04-01 16:00 EDT,1.0,1,(i),
SRU-O2,2026-04-01T21:00:00+00:00,2026-04-01 17:00 EDT,1.0,0,(i),CAP:SRU-O2:status-offline:2026-04-01T21:00:00+00:00:2026-04-01T23:00:00+00:00;E16
SRU-O2,2026-04-01T22:00:00+00:00,2026-04-01 18:00 EDT,1.0,0,(i),CAP:SRU-O2:status-offline:2026-04-01T21:00:00+00:00:2026-04-01T23:00:00+00:00;E16
SRU-O2,2026-04-01T23:00:00+00:00,2026-04-01 19:00 EDT,1.0,1,(i),
B15-NOx,2026-04-01T00:00:00+00:00,2026-03-31 20:00 EDT,1.0,0,(i),
B15-NOx,2026-04-01T01:00:00+00:00,2026-03-31 21:00 EDT,1.0,0,(i),CAP:B15-NOx:status-offline:2026-04-01T01:00:00+00:00:2026-04-01T03:00:00+00:00;E01
B15-NOx,2026-04-01T02:00:00+00:00,2026-03-31 22:00 EDT,1.0,0,(i),CAP:B15-NOx:status-offline:2026-04-01T01:00:00+00:00:2026-04-01T03:00:00+00:00;E01
B15-NOx,2026-04-01T03:00:00+00:00,2026-03-31 23:00 EDT,1.0,0,(iii)(A),E18
B15-NOx,2026-04-01T04:00:00+00:00,2026-04-01 00:00 EDT,1.0,1,(i),
B15-NOx,2026-04-01T05:00:00+00:00,2026-04-01 01:00 EDT,1.0,0,(i),
B15-NOx,2026-04-01T06:00:00+00:00,2026-04-01 02:00 EDT,1.0,0,(i),
B15-NOx,2026-04-01T07:00:00+00:00,2026-04-01 03:00 EDT,1.0,1,(i),
B15-NOx,2026-04-01T08:00:00+00:00,2026-04-01 04:00 EDT,1.0,1,(i),
B15-NOx,2026-04-01T09:00:00+00:00,2026-04-01 05:00 EDT,1.0,1,(i),
B15-NOx,2026-04-01T10:00:00+00:00,2026-04-01 06:00 EDT,1.0,1,(i),
B15-NOx,2026-04-01T11:00:00+00:00,2026-04-01 07:00 EDT,1.0,1,(i),
B15-NOx,2026-04-01T12:00:00+00:00,2026-04-01 08:00 EDT,1.0,0,(i),
B15-NOx,2026-04-01T13:00:00+00:00,2026-04-01 09:00 EDT,1.0,0,(i),
B15-NOx,2026-04-01T14:00:00+00:00,2026-04-01 10:00 EDT,1.0,1,(i),
B15-NOx,2026-04-01T15:00:00+00:00,2026-04-01 11:00 EDT,1.0,0,(i),E10
B15-NOx,2026-04-01T16:00:00+00:00,2026-04-01 12:00 EDT,1.0,1,(i),
B15-NOx,2026-04-01T17:00:00+00:00,2026-04-01 13:00 EDT,1.0,1,(i),
B15-NOx,2026-04-01T18:00:00+00:00,2026-04-01 14:00 EDT,1.0,0,(i),CAP:B15-NOx:status-offline:2026-04-01T18:00:00+00:00:2026-04-01T20:00:00+00:00;E13
B15-NOx,2026-04-01T19:00:00+00:00,2026-04-01 15:00 EDT,1.0,0,(i),CAP:B15-NOx:status-offline:2026-04-01T18:00:00+00:00:2026-04-01T20:00:00+00:00;E13
B15-NOx,2026-04-01T20:00:00+00:00,2026-04-01 16:00 EDT,1.0,0,(i),
B15-NOx,2026-04-01T21:00:00+00:00,2026-04-01 17:00 EDT,1.0,0,(i),
B15-NOx,2026-04-01T22:00:00+00:00,2026-04-01 18:00 EDT,1.0,0,(i),E22
B15-NOx,2026-04-01T23:00:00+00:00,2026-04-01 19:00 EDT,1.0,1,(i),
B15-CO,2026-04-01T00:00:00+00:00,2026-03-31 20:00 EDT,1.0,0,(i),
B15-CO,2026-04-01T01:00:00+00:00,2026-03-31 21:00 EDT,1.0,1,(i),
B15-CO,2026-04-01T02:00:00+00:00,2026-03-31 22:00 EDT,1.0,1,(i),
B15-CO,2026-04-01T03:00:00+00:00,2026-03-31 23:00 EDT,1.0,0,(iii)(A),E18
B15-CO,2026-04-01T04:00:00+00:00,2026-04-01 00:00 EDT,1.0,1,(i),
B15-CO,2026-04-01T05:00:00+00:00,2026-04-01 01:00 EDT,1.0,0,(i),
B15-CO,2026-04-01T06:00:00+00:00,2026-04-01 02:00 EDT,1.0,0,(i),
B15-CO,2026-04-01T07:00:00+00:00,2026-04-01 03:00 EDT,1.0,0,(i),CAP:B15-CO:status-offline:2026-04-01T07:00:00+00:00:2026-04-01T09:00:00+00:00;E21
B15-CO,2026-04-01T08:00:00+00:00,2026-04-01 04:00 EDT,1.0,0,(i),CAP:B15-CO:status-offline:2026-04-01T07:00:00+00:00:2026-04-01T09:00:00+00:00;E21
B15-CO,2026-04-01T09:00:00+00:00,2026-04-01 05:00 EDT,1.0,1,(i),
B15-CO,2026-04-01T10:00:00+00:00,2026-04-01 06:00 EDT,1.0,0,(i),E06
B15-CO,2026-04-01T11:00:00+00:00,2026-04-01 07:00 EDT,1.0,0,(i),E06
B15-CO,2026-04-01T12:00:00+00:00,2026-04-01 08:00 EDT,1.0,0,(i),
B15-CO,2026-04-01T13:00:00+00:00,2026-04-01 09:00 EDT,1.0,0,(i),
B15-CO,2026-04-01T14:00:00+00:00,2026-04-01 10:00 EDT,1.0,1,(i),
B15-CO,2026-04-01T15:00:00+00:00,2026-04-01 11:00 EDT,1.0,1,(i),
B15-CO,2026-04-01T16:00:00+00:00,2026-04-01 12:00 EDT,1.0,0,(i),CAP:B15-CO:status-offline:2026-04-01T16:00:00+00:00:2026-04-01T17:00:00+00:00;E11
B15-CO,2026-04-01T17:00:00+00:00,2026-04-01 13:00 EDT,1.0,1,(i),
B15-CO,2026-04-01T18:00:00+00:00,2026-04-01 14:00 EDT,1.0,1,(i),
B15-CO,2026-04-01T19:00:00+00:00,2026-04-01 15:00 EDT,1.0,0,(iii)(A),E14
B15-CO,2026-04-01T20:00:00+00:00,2026-04-01 16:00 EDT,1.0,0,(iii)(A),E14
B15-CO,2026-04-01T21:00:00+00:00,2026-04-01 17:00 EDT,1.0,0,(i),
B15-CO,2026-04-01T22:00:00+00:00,2026-04-01 18:00 EDT,1.0,1,(i),
B15-CO,2026-04-01T23:00:00+00:00,2026-04-01 19:00 EDT,1.0,0,(i),E25
B15-O2,2026-04-01T00:00:00+00:00,2026-03-31 20:00 EDT,1.0,0,(i),E17
B15-O2,2026-04-01T01:00:00+00:00,2026-03-31 21:00 EDT,1.0,1,(i),
B15-O2,2026-04-01T02:00:00+00:00,2026-03-31 22:00 EDT,1.0,1,(i),
B15-O2,2026-04-01T03:00:00+00:00,2026-03-31 23:00 EDT,1.0,1,(i),
B15-O2,2026-04-01T04:00:00+00:00,2026-04-01 00:00 EDT,1.0,1,(i),
B15-O2,2026-04-01T05:00:00+00:00,2026-04-01 01:00 EDT,1.0,0,(i),CAP:B15-O2:status-offline:2026-04-01T05:00:00+00:00:2026-04-01T07:00:00+00:00;E03
B15-O2,2026-04-01T06:00:00+00:00,2026-04-01 02:00 EDT,1.0,0,(i),CAP:B15-O2:status-offline:2026-04-01T05:00:00+00:00:2026-04-01T07:00:00+00:00;E03
B15-O2,2026-04-01T07:00:00+00:00,2026-04-01 03:00 EDT,1.0,1,(i),
B15-O2,2026-04-01T08:00:00+00:00,2026-04-01 04:00 EDT,1.0,1,(i),
B15-O2,2026-04-01T09:00:00+00:00,2026-04-01 05:00 EDT,1.0,1,(i),
B15-O2,2026-04-01T10:00:00+00:00,2026-04-01 06:00 EDT,1.0,1,(i),
B15-O2,2026-04-01T11:00:00+00:00,2026-04-01 07:00 EDT,1.0,1,(i),
B15-O2,2026-04-01T12:00:00+00:00,2026-04-01 08:00 EDT,1.0,0,(i),E08
B15-O2,2026-04-01T13:00:00+00:00,2026-04-01 09:00 EDT,1.0,0,(i),E08
B15-O2,2026-04-01T14:00:00+00:00,2026-04-01 10:00 EDT,1.0,1,(i),
B15-O2,2026-04-01T15:00:00+00:00,2026-04-01 11:00 EDT,1.0,1,(i),
B15-O2,2026-04-01T16:00:00+00:00,2026-04-01 12:00 EDT,1.0,1,(i),
B15-O2,2026-04-01T17:00:00+00:00,2026-04-01 13:00 EDT,1.0,1,(i),
B15-O2,2026-04-01T18:00:00+00:00,2026-04-01 14:00 EDT,1.0,1,(i),
B15-O2,2026-04-01T19:00:00+00:00,2026-04-01 15:00 EDT,1.0,1,(i),
B15-O2,2026-04-01T20:00:00+00:00,2026-04-01 16:00 EDT,1.0,0,(i),CAP:B15-O2:status-offline:2026-04-01T20:00:00+00:00:2026-04-01T22:00:00+00:00;E24
B15-O2,2026-04-01T21:00:00+00:00,2026-04-01 17:00 EDT,1.0,0,(i),CAP:B15-O2:status-offline:2026-04-01T20:00:00+00:00:2026-04-01T22:00:00+00:00;E24
B15-O2,2026-04-01T22:00:00+00:00,2026-04-01 18:00 EDT,1.0,1,(i),
B15-O2,2026-04-01T23:00:00+00:00,2026-04-01 19:00 EDT,1.0,1,(i),
