Analyzer,HourStartUTC,HourLocalLabel,OperatingFraction,Valid,RuleApplied,ContributingEventIDs
NOX-01,2026-04-01T09:00:00+00:00,2026-04-01 05:00 EDT,1.0,1,(iii)(A),A001
NOX-01,2026-04-01T10:00:00+00:00,2026-04-01 06:00 EDT,1.0,1,(i),
NOX-01,2026-04-01T11:00:00+00:00,2026-04-01 07:00 EDT,1.0,0,(i),CAP:NOX-01:status-offline:2026-04-01T11:00:00+00:00:2026-04-01T12:00:00+00:00
NOX-01,2026-04-01T12:00:00+00:00,2026-04-01 08:00 EDT,0.0,NOT-OPERATING,not-operating,
NOX-01,2026-04-01T13:00:00+00:00,2026-04-01 09:00 EDT,1.0,1,(i),
SO2-01,2026-04-01T09:00:00+00:00,2026-04-01 05:00 EDT,1.0,1,(i),
SO2-01,2026-04-01T10:00:00+00:00,2026-04-01 06:00 EDT,1.0,0,(i),CAP:SO2-01:status-offline:2026-04-01T10:10:00+00:00:2026-04-01T10:45:00+00:00
SO2-01,2026-04-01T11:00:00+00:00,2026-04-01 07:00 EDT,1.0,1,(i),
SO2-01,2026-04-01T12:00:00+00:00,2026-04-01 08:00 EDT,0.0,NOT-OPERATING,not-operating,
SO2-01,2026-04-01T13:00:00+00:00,2026-04-01 09:00 EDT,1.0,1,(i),
